feature,coef
"Distributor_Eliot Lives Productions, LLC",3085.508146743989
Distributor_Embassy,-62291.02999766432
Distributor_Embrem Entertainment,-129524.31041807705
Distributor_Emerging Pictures,-65429.50853502944
Distributor_Empire Pictures,-143384.9935368109
Distributor_Entertainment One,-484487.30543835205
Distributor_Equinox,-54757.66446721646
Distributor_Eros Entertainment,-617990.282709566
Distributor_EuropaCorp,-1158217.870960584
Distributor_Excel Entertainment,-102788.2962856666
Distributor_Exclusive Releasing,-110823.81126464193
Distributor_FIP,-489645.9378542341
Distributor_FUNimation,-1270496.687733618
Distributor_Fabrication Films,-52835.01572703052
Distributor_Fader Films,-52718.56006345316
Distributor_Fair Trade Pictures,-370600.7756652501
"Distributor_Fame, Inc.",0.0
Distributor_Faulkner-McLean Entertainment,-954023.1227978612
Distributor_Ficus,-121255.81949258977
Distributor_Film Arcade,22592.46022778223
Distributor_Film Forum,-12369.12867981997
Distributor_Film Foundry,11538.785988719275
Distributor_Film Movement,1094.516772729985
Distributor_Film Sales Company,-24780.113964334567
Distributor_FilmBuff,81353.76583384264
Distributor_FilmDemic,-71344.705600666
Distributor_FilmDistrict,773673.8371876081
Distributor_FilmRise,-86086.6113288186
Distributor_Fine Line,67805.8289956496
Distributor_First Independent Pictures,-465632.84881602303
Distributor_First Independent/Dada Films,-7307.157126581849
Distributor_First Look,-279813.5268130722
Distributor_First Run Features,71019.94486289305
Distributor_First Run/Icarus,70784.29041806982
Distributor_Fisher-Klingenstein Films,63722.61658332292
Distributor_Five & Two Pictures,-90734.31600008618
Distributor_Five Points Media,0.0
Distributor_FlyRock Media,69869.53197811145
Distributor_Focus Features,1198341.9070670998
Distributor_Focus/Rogue Pictures,453509.6924485643
Distributor_Fork Films,-213586.23601170085
Distributor_Four Eyed Monsters,88585.77537955114
Distributor_Four of a Kind Productions,-349784.90089746
Distributor_Fox International,-218077.96555671596
Distributor_Fox Meadow,-72687.50672375092
Distributor_Fox Searchlight,1379694.1787072357
Distributor_Freestyle Releasing,-746513.7315561641
Distributor_Frontier,-41793.9846141068
Distributor_Full Circle Releasing,6637.240255117456
Distributor_Full Moon Features,-108762.41441244252
Distributor_Future Educational Films,128277.41252781672
Distributor_GKIDS,-2453167.224017554
Distributor_Gabriel's Messenger Films,-236974.50653875832
Distributor_Garvity Arch,0.0
Distributor_GasLand Productions,62477.00430660248
Distributor_Gathr Films,-708153.8513278742
Distributor_Gener8xion Entertainment,-184895.95758919776
"Distributor_Ghosts Media, Inc.",95010.33757212762
Distributor_Giant Screen Films,75520.75229459605
Distributor_Gigantic Pictures,88693.95065271645
Distributor_Gold Circle Films,-91949.84165167644
Distributor_Goodbye Cruel Releasing,-48402.098174256455
Distributor_Goodface Films,60581.823716942505
Distributor_Gravitas Ventures,-390158.9379680753
Distributor_HB Filmworks,32969.26244587211
Distributor_HBO Documentary Films,4470.296885032253
Distributor_HP Releasing,-8142.396735020669
Distributor_Halestone,-327291.3021947998
Distributor_Hammer the Movie,-117783.58743183916
Distributor_Hammond Entertainment,-259675.69938355192
Distributor_Hannover House,-71271.90792850325
Distributor_Hanover Multimedia,-412883.149328046
Distributor_High Top Releasing,-196677.44665983174
Distributor_Hiltz Squared,-138977.44301449272
Distributor_Holedigger Studios,85628.35624818178
Distributor_Honora Productions,100826.38323484681
Distributor_House Lights Media,-120968.03510030812
Distributor_Humble Pie Films,-350642.27757184167
Distributor_Hybrid Pictures,-404598.7348220756
Distributor_Hyde Park Films,-301124.42774882814
